Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
India/NCDC-01257/2020	Uttar Pradesh	Uttar Pradesh	EPI_ISL_435060	National Centre for Disease control (NCDC), CSIR-Institute of Genomics and Integrative Biology (CSIR-IGIB)	Asia	Asia	NCDC/CSIR-IGIB	Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)
Denmark/ALAB-SSI329/2020	Europe	Europe	EPI_ISL_429456	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Rasmus Kirkegaard et al
Israel/130710716/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447457	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/130710099/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447466	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/130710217/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447462	Clinical Microbiology Laboratory, Sheba Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
SaudiArabia/KAUST-Madinah264/2020	Madinah	Madinah	EPI_ISL_437747	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Asia	Asia	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)	Sharif Hala et al
Israel/701002456/2020	South Coast District	South Coast District	EPI_ISL_447298	Microbiology Division, Barzilai University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2115990/2020	Jerusalem District	Jerusalem District	EPI_ISL_447334	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Israel/2115976/2020	Tel Aviv District	Tel Aviv District	EPI_ISL_447336	Clinical Virology Unit, Hadassah Hebrew University Medical Center	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Taiwan/CGMH-CGU-30/2020	Taiwan	Taiwan	EPI_ISL_464094	Laboratory Medicine	Asia	Asia	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Oman/RESP-20-6701/2020	South Batinah	South Batinah	EPI_ISL_457998	Oman-NIC	Asia	Asia	Oman-NIC	Samira Al-Maruqi et al
Italy/BG-9209-26Feb/2020	Europe	Europe	EPI_ISL_460082	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Europe	Europe	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Martina Rueca et al
Zhejiang/OS6/2020	Zhejiang	Zhejiang	EPI_ISL_455690		Asia	Asia	Department of Microbiology	Gao et al
Beijing/DT-travelES03/2020	Beijing	Europe	EPI_ISL_452345	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Taiwan/NTU16/2020	Taiwan	Europe	EPI_ISL_422418	Department of Laboratory Medicine, National Taiwan University Hospital	Asia	Europe	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al A
Taiwan/NTU25/2020	Taiwan	Europe	EPI_ISL_447619	Department of Laboratory Medicine, National Taiwan University Hospital	Asia	Europe	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	Shiou-Hwei Yeh et al A
USA/PA_1802/2020	North America	North America	EPI_ISL_424881	PA Department of Health, Bureau of Laboratories	North America	North America	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Yan Li et al
Beijing/DT-travelES04/2020	Beijing	Europe	EPI_ISL_452346	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Europe	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
Taiwan/CGMH-CGU-15/2020	Taiwan	Taiwan	EPI_ISL_424971	Laboratory Medicine	Asia	Asia	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Taiwan/TSGH-15/2020	New Taipei City	New Taipei City	EPI_ISL_436100	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	"No. 325 et al
Spain/Barcelona_VH7280/2020	Europe	Europe	EPI_ISL_444973	Hospital Universitari Vall d`Hebron - Vall d'Hebron Institut de Recerca	Europe	Europe	Hospital Universitari Vall d'Hebron	Cristina Andrés et al
Austria/CeMM0221/2020	Europe	Europe	EPI_ISL_438055	Center for Virology, Medical University of Vienna	Europe	Europe	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
Spain/Barcelona_VH6372/2020	Europe	Europe	EPI_ISL_444971	Hospital Universitari Vall d'Hebron - Vall d'Hebron Institut de Recerca	Europe	Europe	Hospital Universitari Vall d'Hebron	Cristina Andrés et al
Spain/80_19/2020	Europe	Europe	EPI_ISL_462997		Europe	Europe	Molecular Genetics	Gomez et al
Austria/CeMM0278/2020	Europe	Europe	EPI_ISL_438105	Center for Virology, Medical University of Vienna	Europe	Europe	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
Austria/CeMM0296/2020	Europe	Europe	EPI_ISL_438119	Center for Virology, Medical University of Vienna	Europe	Europe	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
Israel/2047016/2020	North District	North District	EPI_ISL_447397	Clinical Microbiology Laboratory, The Baruch Padeh Medical Center, Poriya	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Austria/CeMM0242/2020	Europe	Europe	EPI_ISL_438072	Center for Virology, Medical University of Vienna	Europe	Europe	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Alexandra Popa et al
Panama/328677/2020	North America	Europe	EPI_ISL_415152	Gorgas Memorial Institute for Health Studies	North America	Europe	Gorgas Memorial Institute for Health Studies	Danilo Franco et al
Japan/Hu_Kng_19-865/2020	Japan	Japan	EPI_ISL_445183		Asia	Asia	Takayuki Hishiki Kanagawa Prefectural Institute of Public Health	Hishiki et al A
Singapore/148/2020	Singapore	Singapore	EPI_ISL_443240	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al
CostaRica/02/2020	North America	North America	EPI_ISL_434535	Area de Salud Alajuela Sur	North America	North America	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Duarte et al
Croatia/592_Osijek/2020	Europe	Europe	EPI_ISL_454578	University Hospital for Infectious Diseases "Dr. Fran Mihaljević", Research Unit	Europe	Europe	University of Zagreb, Centre for research and knowledge transfer in biotechnology	Ivan-Christian Kurolt et al
Hungary/SRC-01136/2020	Europe	Europe	EPI_ISL_435418	Virological Research Group, Szentágothai Research Centre	Europe	Europe	Bioinformatics Research Group, Szentágothai Research Centre	Péter Urbán et al
Morocco/6897/2020	Africa	Africa	EPI_ISL_459975	Institut Pasteur du Maroc	Africa	Africa	Institut Pasteur du Maroc	Marion Barbet et al
Oman/RESP-20-2523/2020	Muscat	Muscat	EPI_ISL_457975	Oman-NIC	Asia	Asia	Oman-NIC	Samira Al-Maruqi et al
Spain/Barcelona_VH1449/2020	Europe	Europe	EPI_ISL_447532	Hospital Universitari Vall d'Hebron - Vall d'Hebron Institut de Recerca	Europe	Europe	Hospital Universitari Vall d'Hebron	Cristina Andrés et al
Thailand/Bangkok-0043/2020	Bangkok	Bangkok	EPI_ISL_429179	Ramathibodi Hospital	Asia	Asia	COVID-19 Network Investigations (CONI) Alliance	Elizabeth Batty et al B (https://dx.doi.org/10.1101/2020.05.22.20108498)
Georgia/Tb-712/2020	Tbilisi	Tbilisi	EPI_ISL_416481	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Asia	Asia	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Gvantsa Chanturia et al
Spain/68_19/2020	Europe	Europe	EPI_ISL_462996		Europe	Europe	Molecular Genetics	Gomez et al
Colombia/INS-82457/2020	South America	South America	EPI_ISL_456146	Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico	South America	South America	Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine	Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782)
Argentina/PAIS_A007/2020	South America	South America	EPI_ISL_430799	Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	South America	South America	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443)
Spain/100_20/2020	Europe	Europe	EPI_ISL_463000		Europe	Europe	Molecular Genetics	Gomez et al
Spain/96_19/2020	Europe	Europe	EPI_ISL_462999		Europe	Europe	Molecular Genetics	Gomez et al
Russia/StPetersburg-RII5942S/2020	Europe	Europe	EPI_ISL_430099	WHO National Influenza Centre Russian Federation	Europe	Europe	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
Argentina/PAIS_A013/2020	South America	Europe	EPI_ISL_430804	Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	South America	Europe	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez	Nabaes Jodar et al A (https://dx.doi.org/10.1101/2020.05.23.20111443)
Russia/StPetersburg-RII6031S/2020	Europe	Europe	EPI_ISL_430101	WHO National Influenza Centre Russian Federation	Europe	Europe	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
Russia/StPetersburg-RII6027S/2020	Europe	Europe	EPI_ISL_430100	WHO National Influenza Centre Russian Federation	Europe	Europe	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
HongKong/HKSH0003/2020	Hong Kong	Hong Kong	EPI_ISL_430018	Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital	Asia	Asia	Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital	Chun Hang AU et al
HongKong/HKSH0004/2020	Hong Kong	Hong Kong	EPI_ISL_430063	Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital	Asia	Asia	Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital	Chun Hang AU et al
Italy/PV-5314-N/2020	Europe	Europe	EPI_ISL_451307	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Europe	Europe	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Fausto Baldanti et al
Portugal/PT0548/2020	Europe	Europe	EPI_ISL_454272		Europe	Europe	Instituto Nacional de Saude (INSA)	Borges et al et al
Georgia/Tb/2020	Tbilisi	Tbilisi	EPI_ISL_416482	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Asia	Asia	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Adam Kotorashvili et al
Iceland/103/2020	Europe	Europe	EPI_ISL_417698	The National University Hospital of Iceland	Europe	Europe	deCODE genetics	Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
NewZealand/20VR2085/2020	Oceania	Oceania	EPI_ISL_456369	Canterbury Health Laboratories	Oceania	Oceania	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
NewZealand/20VR2065/2020	Oceania	Oceania	EPI_ISL_456356	Canterbury Health Laboratories	Oceania	Oceania	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Portugal/PT0563/2020	Europe	Europe	EPI_ISL_454286		Europe	Europe	Instituto Nacional de Saude (INSA)	Borges et al et al
NewZealand/20VR1278/2020	Oceania	Oceania	EPI_ISL_456203	LabPLUS	Oceania	Oceania	Institute of Environmental Science and Research (ESR)	Matt Storey et al A
Italy/BG-5825-22Feb/2020	Europe	Europe	EPI_ISL_460079	Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia	Europe	Europe	Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS	Barbara Bartolini et al
Slovakia/SK-BMC1/2020	Europe	Europe	EPI_ISL_417877	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Public Health Authority of the Slovak Republic, Bratislava	Europe	Europe	Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava	Monika Slávikova et al
India/NIV-2387/2020	Maharashtra	Maharashtra	EPI_ISL_454527	NIV Influenza	Asia	Asia	NIV Influenza	Potdar V et al B
Thailand/SI204512-NT/2020	Thailand	Thailand	EPI_ISL_437610		Asia	Asia	Faculty of Medicine	Rodpan et al
Denmark/ALAB-HH-267/2020	Europe	Europe	EPI_ISL_452098	Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.	Europe	Europe	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Rasmus Kirkegaard et al
Israel/990059252/2020	South Coast District	South Coast District	EPI_ISL_447268	Microbiology laboratory, Assuta Ashdod University-Affiliated Hospital	Asia	Asia	Stern Lab	Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
Italy/484/2020	Europe	Europe	EPI_ISL_457749	Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy	Europe	Europe	Army Medical and Veterinary Research Center	Paola Stefanelli et al B
Finland/FIN-266/2020	Europe	Asia	EPI_ISL_414646	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Europe	Asia	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al A
Sweden/20-08040/2020	Europe	Europe	EPI_ISL_454436	Halmstad klinisk mikrobiologi	Europe	Europe	The Public Health Agency of Sweden	Anna-Malin Linde et al
Vietnam/VNHN_2406/2020	Red River Delta	Red River Delta	EPI_ISL_455700	National Hospital of Tropical Diseases	Asia	Asia	Oxford University Clinical Research Unit, Hanoi, Vietnam	Nguyen Thi Tam et al
Norway/2200/2020	Europe	Europe	EPI_ISL_447837	Dept. of Medical Microbiology, Stavanger University Hospital, Helse Stavanger HF,	Europe	Europe	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
Kazakhstan/NCB-2/2020	Nur-Sultan	Nur-Sultan	EPI_ISL_435046	Laboratory of Applied Genetics	Asia	Asia	RSE "National Center for Biotechnology"	Shevtsov et al
Norway/2356-2/2020	Europe	Europe	EPI_ISL_449786	Ostfold Hospital Trust - Kalnes, Centre for Laboratory Medicine, Section for gene technology and infection serology	Europe	Europe	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
env/Beijing/BJ2456/2020	Beijing	Beijing	EPI_ISL_430745	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
env/Beijing/BJ2454/2020	Beijing	Beijing	EPI_ISL_430744	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
env/Beijing/BJ2460/2020	Beijing	Beijing	EPI_ISL_430746	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
env/Beijing/BJ2452/2020	Beijing	Beijing	EPI_ISL_430743	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
UnitedArabEmirates/L1076/2020	United Arab Emirates	United Arab Emirates	EPI_ISL_435128	Mohammed Bin Rashid University of Medicine and Health Sciences	Asia	Asia	Al Jalila Genomics Center	Ahmad Abou Tayoun et al B (https://dx.doi.org/10.1101/2020.05.06.080606)
Oman/RESP-20-5505/2020	Muscat	Muscat	EPI_ISL_457994	Oman-NIC	Asia	Asia	Oman-NIC	Samira Al-Maruqi et al
Poland/PL_P32/2020	Europe	Europe	EPI_ISL_455445	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)	Europe	Europe	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH).	Katarzyna Pancer et al
Poland/PL_P33/2020	Europe	Europe	EPI_ISL_455446	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)	Europe	Europe	1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH).	Katarzyna Pancer et al
